Variant;Variant ID;Language;Feature name;Feature group;Position
"AURA";"153";"ru";"Производитель";"";"0"
"BASIC Medical";"163";"ru";"Производитель";"";"0"
"Becton Dickinson";"173";"ru";"Производитель";"";"0"
"BEL";"215";"ru";"Производитель";"";"0"
"Bel Baby";"223";"ru";"Производитель";"";"0"
"Bright Medical";"185";"ru";"Производитель";"";"0"
"Calmor";"219";"ru";"Производитель";"";"0"
"COSMOPOR Advance";"196";"ru";"Производитель";"";"0"
"COSMOPOR Antibacterial";"194";"ru";"Производитель";"";"0"
"COSMOPOR E steril";"195";"ru";"Производитель";"";"0"
"COSMOS";"218";"ru";"Производитель";"";"0"
"Diagramm Halbach";"182";"ru";"Производитель";"";"0"
"DiaMedical";"168";"ru";"Производитель";"";"0"
"ES-KOMPRESSEN";"193";"ru";"Производитель";"";"0"
"Fil-Zellin";"200";"ru";"Производитель";"";"0"
"FIRST AID";"221";"ru";"Производитель";"";"0"
"Foliodress";"204";"ru";"Производитель";"";"0"
"HARTMANN";"211";"ru";"Производитель";"";"0"
"Hartmann";"220";"ru";"Производитель";"";"0"
"IPS";"176";"ru";"Производитель";"";"0"
"JNB";"170";"ru";"Производитель";"";"0"
"KDM";"174";"ru";"Производитель";"";"0"
"Menalind";"207";"ru";"Производитель";"";"0"
"Moli";"206";"ru";"Производитель";"";"0"
"OBVAZOVA";"216";"ru";"Производитель";"";"0"
"PAGASLING";"199";"ru";"Производитель";"";"0"
"PAGASLING steril";"198";"ru";"Производитель";"";"0"
"PAGAVIT";"212";"ru";"Производитель";"";"0"
"PEHA";"203";"ru";"Производитель";"";"0"
"Plasti Lab";"179";"ru";"Производитель";"";"0"
"PUR-ZELLIN";"202";"ru";"Производитель";"";"0"
"PUR-ZELLIN steril";"201";"ru";"Производитель";"";"0"
"RIA";"217";"ru";"Производитель";"";"0"
"SAMU";"210";"ru";"Производитель";"";"0"
"SFM";"167";"ru";"Производитель";"";"0"
"SicSac";"214";"ru";"Производитель";"";"0"
"Skintact";"187";"ru";"Производитель";"";"0"
"SOFT-ZELLIN";"197";"ru";"Производитель";"";"0"
"SONY Corporation";"184";"ru";"Производитель";"";"0"
"STERILUX ES";"192";"ru";"Производитель";"";"0"
"Suyun";"181";"ru";"Производитель";"";"0"
"TELA";"205";"ru";"Производитель";"";"0"
"Themoval";"222";"ru";"Производитель";"";"0"
"Vala";"208";"ru";"Производитель";"";"0"
"WATTESTÄBCHEN";"213";"ru";"Производитель";"";"0"
"Ахтамар";"157";"ru";"Производитель";"";"0"
"Винар";"188";"ru";"Производитель";"";"0"
"Гекса";"171";"ru";"Производитель";"";"0"
"Гельтек";"180";"ru";"Производитель";"";"0"
"Емельянъ Савостинъ. Ватная фабрика";"162";"ru";"Производитель";"";"0"
"Навтекс";"156";"ru";"Производитель";"";"0"
"Ньюфарм";"160";"ru";"Производитель";"";"0"
"Русвата";"158";"ru";"Производитель";"";"0"
"РусМедУпак";"165";"ru";"Производитель";"";"0"
"Эверс-фарм";"159";"ru";"Производитель";"";"0"
"Этикон (Джонсон и Джонсон)";"190";"ru";"Производитель";"";"0"
"бут.";"149";"ru";"Единица измерения";"";"0"
"канист.";"150";"ru";"Единица измерения";"";"0"
"капс.";"148";"ru";"Единица измерения";"";"0"
"кг";"146";"ru";"Единица измерения";"";"0"
"компл.";"144";"ru";"Единица измерения";"";"0"
"м";"145";"ru";"Единица измерения";"";"0"
"наб.";"151";"ru";"Единица измерения";"";"0"
"пар.";"147";"ru";"Единица измерения";"";"0"
"пач.";"143";"ru";"Единица измерения";"";"0"
"рул.";"142";"ru";"Единица измерения";"";"0"
"рулон";"209";"ru";"Единица измерения";"";"0"
"уп";"191";"ru";"Единица измерения";"";"0"
"уп.";"141";"ru";"Единица измерения";"";"2"
"шт.";"140";"ru";"Единица измерения";"";"1"
"Австрия";"186";"ru";"Страна";"";"0"
"Великобритания";"177";"ru";"Страна";"";"0"
"Германия";"166";"ru";"Страна";"";"0"
"Испания";"172";"ru";"Страна";"";"0"
"Италия";"175";"ru";"Страна";"";"0"
"Китай";"161";"ru";"Страна";"";"0"
"Ливан";"178";"ru";"Страна";"";"0"
"Малайзия";"164";"ru";"Страна";"";"0"
"Россия";"155";"ru";"Страна";"";"0"
"Россия ";"154";"ru";"Страна";"";"0"
"Сербия";"169";"ru";"Страна";"";"0"
"США";"189";"ru";"Страна";"";"0"
"Япония";"183";"ru";"Страна";"";"0"
