Product code;Product name;Category;Price;Features;Quantity;Taxes;Date added;Status;Language;Weight;Min quantity;List price;Shipping freight;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Description;Meta keywords;Meta description;Search words;Page title;Options;Secondary categories;SEO name;Short description;Localizations;Max quantity;Quantity step;List qty count;Out of stock actions;Product URL;Image URL;Detailed image URL;Box size;Items in box;Store
"proba37";"Отрез марлевый 2 м                                                                                                                                                            ";"Медицинские расходные материалы///Марля, марлевые отрезы";"14.64";"Производитель: E[Навтекс]; Количество в коробке: T[150]; Единица измерения: S[шт.]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"otrez-marlevyy-2-m";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/otrez-marlevyy-2-m.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba38";"Отрез марлевый 3 м ";"Медицинские расходные материалы///Марля, марлевые отрезы";"20.78";"Производитель: E[Навтекс]; Количество в коробке: T[100]; Единица измерения: S[шт.]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"otrez-marlevyy-3-m";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/otrez-marlevyy-3-m.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba39";"Отрез марлевый 5 м ";"Медицинские расходные материалы///Марля, марлевые отрезы";"33.12";"Производитель: E[Навтекс]; Количество в коробке: T[70]; Единица измерения: S[шт.]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"otrez-marlevyy-5-m";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/otrez-marlevyy-5-m.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba40";"Отрез марлевый 10 м.  (Русвата)";"Медицинские расходные материалы///Марля, марлевые отрезы";"63.48";"Производитель: E[Русвата]; Количество в коробке: T[25]; Единица измерения: S[шт.]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"otrez-marlevyy-10-m.-rusvata";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/otrez-marlevyy-10-m.-rusvata.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba41";"Салфет.мар.мед.ст.двухсл.16х14 по 10 шт ГОСТ";"Медицинские расходные материалы///Марля, марлевые отрезы";"4.77";"Производитель: E[Ахтамар]; Количество в коробке: T[400]; Единица измерения: S[уп.]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfet.mar.med.st.dvuhsl.16h14-po-10-sht-gost";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfet.mar.med.st.dvuhsl.16h14-po-10-sht-gost.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba42";"Салфет.мар.мед.ст.двухсл.16х14 по 20 шт ГОСТ";"Медицинские расходные материалы///Марля, марлевые отрезы";"9.80";"Производитель: E[Ахтамар]; Количество в коробке: T[250]; Единица измерения: S[уп.]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfet.mar.med.st.dvuhsl.16h14-po-20-sht-gost";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfet.mar.med.st.dvuhsl.16h14-po-20-sht-gost.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba43";"Салфет.мар.мед.ст.двухсл.45х29 по 5 шт ГОСТ";"Медицинские расходные материалы///Марля, марлевые отрезы";"11.73";"Производитель: E[Ахтамар]; Количество в коробке: T[150]; Единица измерения: S[уп.]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfet.mar.med.st.dvuhsl.45h29-po-5-sht-gost";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfet.mar.med.st.dvuhsl.45h29-po-5-sht-gost.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba44";"Марля медицинская (28-+2 гр/м2)";"Медицинские расходные материалы///Марля, марлевые отрезы";"6.21";"Производитель: E[Навтекс]; Количество в коробке: T[1000]; Единица измерения: S[м]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"marlya-medicinskaya-28-2-gr-m2";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/marlya-medicinskaya-28-2-gr-m2.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba45";"Марля медицинская  (32-+ 2 гр/м2)";"Медицинские расходные материалы///Марля, марлевые отрезы";"7.88";"Производитель: E[Навтекс]; Количество в коробке: T[1000]; Единица измерения: S[м]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"marlya-medicinskaya-32-2-gr-m2";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/marlya-medicinskaya-32-2-gr-m2.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
"proba46";"Марля медицинская (36,0-+2 гр/м2) ";"Медицинские расходные материалы///Марля, марлевые отрезы";"8.97";"Производитель: E[Навтекс]; Количество в коробке: T[1000]; Единица измерения: S[м]; Страна: S[Россия]";"1";"VAT";"07 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"marlya-medicinskaya-36-0-2-gr-m2";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/marlya-medicinskaya-36-0-2-gr-m2.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Simtech"
