Product code;Language;Price;Lower limit;User group;Percentage discount
"proba61";"ru";"4.55";"99";"Все";"0"
"proba66";"ru";"117.60";"99";"Все";"0"
"proba65";"ru";"135.60";"99";"Все";"0"
"proba33";"ru";"8.22";"131";"Все";"0"
"proba26";"ru";"4.26";"124";"Все";"0"
"proba32";"ru";"8.64";"130";"Все";"0"
"proba30";"ru";"5.64";"128";"Все";"0"
"proba29";"ru";"4.90";"127";"Все";"0"
"proba178";"ru";"1.96";"1";"Все";"0"
"proba79";"ru";"35.70";"99";"Все";"0"
"proba19";"ru";"2.89";"500";"Все";"0"
"proba31";"ru";"7.50";"129";"Все";"0"
"proba93";"ru";"2.70";"1";"Все";"0"
"proba67";"ru";"115.20";"99";"Все";"0"
"proba76";"ru";"18.60";"99";"Все";"0"
"proba68";"ru";"5.75";"99";"Все";"0"
"proba28";"ru";"4.50";"126";"Все";"0"
"proba41";"ru";"4.77";"1";"Все";"0"
"proba27";"ru";"4.68";"125";"Все";"0"
"proba60";"ru";"26.50";"99";"Все";"0"
"proba64";"ru";"27.05";"99";"Все";"0"
"proba63";"ru";"13.10";"99";"Все";"0"
"proba121";"ru";"1.36";"1";"Все";"0"
"proba106";"ru";"6.63";"1";"Все";"0"
"proba25";"ru";"4.44";"123";"Все";"0"
"proba69";"ru";"8.51";"1";"Все";"0"
"proba34";"ru";"9.10";"132";"Все";"0"
"proba134";"ru";"2.35";"1";"Все";"0"
"proba92";"ru";"7.30";"1";"Все";"0"
"proba82";"ru";"19.15";"1";"Все";"0"
"proba83";"ru";"9.32";"1";"Все";"0"
"proba94";"ru";"3.34";"1";"Все";"0"
"proba105";"ru";"6.63";"1";"Все";"0"
"proba71";"ru";"41.06";"1";"Все";"0"
"proba165";"ru";"6.62";"1";"Все";"0"
"proba91";"ru";"7.30";"1";"Все";"0"
"proba168";"ru";"219.56";"1";"Все";"0"
"proba167";"ru";"10.69";"1";"Все";"0"
"proba137";"ru";"6.10";"1";"Все";"0"
